file,folder,rounds,our_camp,enemy_camp,winner_camp,our_win,first_death_round,first_death_camp,first_death_id,our_alive,enemy_alive,our_raw_damage,enemy_raw_damage,our_attacks,enemy_attacks,our_move_attack,enemy_move_attack,enemy_focus_target,red_builds,blue_builds,red_positions,blue_positions,red_raw_damage,blue_raw_damage,red_attacks,blue_attacks,red_move_attack,blue_move_attack,red_deaths,blue_deaths,red_first_attack_target,blue_first_attack_target,red_top_target,blue_top_target,first6_focus,death_rounds,our_signatures,enemy_signatures
loss4\8492400.json,loss4,27,Blue,Red,Blue,True,8,Red,2,1,0,720,495,16,11,0,5,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(9,9);id4@(11,9);id5@(10,9)","id0@(7,12);id1@(10,11);id3@(13,13)",495,720,11,16,5,0,3,2,3,2,3,5,"('Blue', 2)x3;('Red', 3)x3",1x24;2x8;3x11;4x17;5x27,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492401.json,loss4,27,Red,Blue,Red,True,9,Blue,5,1,0,675,540,15,12,0,4,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(13,7);id2@(7,8);id3@(10,9)","id0@(10,11);id4@(9,11);id5@(11,11)",675,540,15,12,0,4,2,3,5,3,5,3,"('Blue', 3)x3;('Red', 5)x3",0x18;2x22;3x11;4x27;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492402.json,loss4,25,Blue,Red,Red,False,8,Blue,5,0,1,450,675,10,15,0,4,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id1@(11,9);id2@(9,9)","id3@(7,12);id4@(13,13);id5@(10,11)",675,450,15,10,4,0,2,3,5,1,5,1,"('Blue', 1)x3;('Red', 5)x3",1x11;2x24;3x25;4x17;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492403.json,loss4,25,Red,Blue,Blue,False,8,Red,5,0,2,450,675,10,15,0,5,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(10,9);id4@(13,7);id5@(7,8)","id0@(9,11);id1@(10,11);id3@(11,11)",450,675,10,15,0,5,3,1,0,5,0,5,"('Blue', 5)x3;('Red', 0)x3",0x11;2x25;4x18;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492407.json,loss4,25,Red,Blue,Blue,False,10,Red,5,0,2,315,675,7,15,2,8,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id2@(13,7);id5@(7,8)","id1@(5,16);id3@(15,16);id4@(10,17)",315,675,7,15,2,8,3,1,4,5,4,5,"('Blue', 5)x3;('Red', 4)x3",0x25;2x18;4x17;5x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492408.json,loss4,27,Blue,Red,Red,False,9,Blue,4,0,2,405,720,9,16,1,5,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(10,2);id2@(5,3);id5@(15,3)","id0@(7,12);id3@(13,13);id4@(10,11)",720,405,16,9,5,1,1,3,4,5,3,5,"('Blue', 1)x1;('Blue', 5)x1;('Red', 4)x3",0x27;3x19;4x9;5x17,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492409.json,loss4,30,Red,Blue,Red,True,9,Red,5,1,0,675,675,15,15,0,3,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(7,8);id4@(10,9);id5@(13,7)","id0@(10,17);id2@(15,16);id3@(5,16)",675,675,15,15,0,3,2,3,0,5,0,4,"('Blue', 5)x3;('Red', 0)x3",0x11;2x30;3x20;4x21;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492410.json,loss4,26,Blue,Red,Red,False,10,Blue,4,0,2,450,675,10,15,0,3,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(15,3);id3@(5,3);id5@(10,2)","id0@(7,12);id2@(10,11);id4@(13,13)",675,450,15,10,3,0,1,3,4,1,4,1,"('Blue', 1)x2;('Red', 4)x3",0x26;1x14;2x19;4x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492411.json,loss4,29,Red,Blue,Blue,False,11,Red,3,0,2,405,765,9,17,2,8,0,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id2@(13,7);id3@(7,8)","id1@(15,16);id4@(10,17);id5@(5,16)",405,765,9,17,2,8,3,1,4,3,4,0,"('Blue', 3)x3;('Red', 1)x1;('Red', 4)x2",0x29;2x19;3x11;4x22,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492412.json,loss4,26,Blue,Red,Red,False,9,Blue,4,0,2,360,720,8,16,2,5,1,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,2);id2@(5,3);id5@(15,3)","id1@(13,13);id3@(7,12);id4@(10,11)",720,360,16,8,5,2,1,3,4,5,1,2,"('Blue', 2)x2;('Blue', 5)x1;('Red', 4)x3",1x26;2x18;3x17;4x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492413.json,loss4,25,Red,Blue,Blue,False,9,Red,5,0,2,405,675,9,15,3,6,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(10,9);id4@(13,7);id5@(7,8)","id0@(15,16);id2@(10,17);id3@(5,16)",405,675,9,15,3,6,3,1,2,5,2,5,"('Blue', 5)x3;('Red', 2)x3",1x25;2x13;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492414.json,loss4,28,Blue,Red,Red,False,11,Blue,3,0,1,450,675,10,15,4,6,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(15,3);id4@(5,3);id5@(10,2)","id0@(10,11);id1@(13,13);id3@(7,12)",675,450,15,10,6,4,2,3,3,5,3,5,"('Blue', 2)x1;('Blue', 5)x2;('Red', 3)x3",0x28;1x20;2x27;3x11;5x13,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492415.json,loss4,24,Red,Blue,Blue,False,8,Red,5,0,2,360,675,8,15,1,7,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(7,8);id3@(13,7);id5@(10,9)","id0@(10,19);id1@(11,19);id4@(9,19)",360,675,8,15,1,7,3,1,1,5,1,5,"('Blue', 5)x3;('Red', 1)x2",1x19;2x24;3x17;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492416.json,loss4,26,Blue,Red,Red,False,10,Blue,4,0,2,495,675,11,15,2,3,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(11,0);id3@(10,0);id5@(9,0)","id1@(13,13);id2@(7,12);id4@(10,11)",675,495,15,11,3,2,1,3,4,0,4,0,"('Blue', 0)x3;('Red', 4)x3",0x14;1x26;2x19;4x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492417.json,loss4,28,Red,Blue,Blue,False,8,Red,4,0,1,585,675,13,15,1,5,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(7,8);id3@(10,9);id4@(13,7)","id0@(10,19);id1@(9,19);id5@(11,19)",585,675,13,15,1,5,3,2,1,4,1,4,"('Blue', 4)x3;('Red', 1)x3",1x10;2x28;3x19;4x8;5x21,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492418.json,loss4,24,Blue,Red,Red,False,8,Blue,5,0,2,270,675,6,15,0,6,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,0);id1@(9,0);id3@(11,0)","id2@(13,13);id4@(10,11);id5@(7,12)",675,270,15,6,6,0,1,3,5,0,5,0,"('Blue', 0)x2;('Red', 5)x3",0x23;2x24;4x17;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492419.json,loss4,26,Red,Blue,Blue,False,10,Red,4,0,2,405,675,9,15,1,6,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(7,8);id2@(13,7);id4@(10,9)","id1@(9,19);id3@(10,19);id5@(11,19)",405,675,9,15,1,6,3,1,1,4,1,4,"('Blue', 4)x3;('Red', 1)x2",0x26;1x14;2x19;4x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492420.json,loss4,25,Blue,Red,Blue,True,10,Red,5,1,0,675,450,15,10,2,3,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(10,0);id4@(9,0);id5@(11,0)","id0@(13,13);id1@(7,12);id3@(10,11)",450,675,10,15,3,2,3,2,3,5,3,5,"('Blue', 2)x1;('Blue', 5)x2;('Red', 3)x3",1x24;2x17;3x11;4x25;5x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492421.json,loss4,26,Red,Blue,Blue,False,9,Red,5,0,1,495,675,11,15,1,4,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(7,8);id4@(10,9);id5@(13,7)","id0@(11,19);id2@(10,19);id3@(9,19)",495,675,11,15,1,4,3,2,3,5,3,5,"('Blue', 5)x3;('Red', 3)x3",1x26;2x23;3x11;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492422.json,loss4,29,Blue,Red,Red,False,11,Blue,3,0,1,585,675,13,15,1,4,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(11,0);id4@(9,0);id5@(10,0)","id0@(7,12);id2@(10,11);id3@(13,13)",675,585,15,13,4,1,2,3,3,4,3,4,"('Blue', 1)x1;('Blue', 4)x1;('Red', 3)x3",0x29;1x24;2x20;3x11;4x15,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492423.json,loss4,26,Red,Blue,Blue,False,8,Red,5,0,1,495,675,11,15,0,5,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(10,9);id4@(13,7);id5@(7,8)","id0@(11,19);id1@(9,19);id3@(10,19)",495,675,11,15,0,5,3,2,0,5,0,5,"('Blue', 5)x3;('Red', 0)x3",0x11;2x26;3x23;4x18;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492424.json,loss4,25,Blue,Red,Red,False,9,Blue,5,0,2,405,675,9,15,1,5,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(9,0);id2@(11,0);id4@(10,0)","id0@(13,13);id3@(7,12);id5@(10,11)",675,405,15,9,5,1,1,3,5,2,5,2,"('Blue', 2)x2;('Red', 5)x3",0x25;2x17;3x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492425.json,loss4,30,Red,Blue,Blue,False,9,Blue,0,0,1,675,675,15,15,0,0,1,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(10,9);id2@(7,8);id3@(13,7)","id0@(10,11);id4@(11,11);id5@(9,11)",675,675,15,15,0,0,3,2,0,1,4,1,"('Blue', 1)x3;('Red', 0)x3",0x9;1x11;2x20;3x30;4x21,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492426.json,loss4,30,Blue,Red,Blue,True,9,Red,5,1,0,720,630,16,14,0,0,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(11,9);id3@(9,9);id5@(10,9)","id0@(10,11);id2@(7,12);id4@(13,13)",630,720,14,16,0,0,3,2,4,5,4,3,"('Blue', 5)x3;('Red', 4)x3",1x19;2x21;3x30;4x10;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492427.json,loss4,25,Red,Blue,Red,True,8,Blue,4,1,0,675,450,15,10,0,0,0,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(7,8);id1@(10,9);id2@(13,7)","id3@(10,11);id4@(9,11);id5@(11,11)",675,450,15,10,0,0,2,3,4,0,4,0,"('Blue', 0)x3;('Red', 4)x3",0x11;1x24;3x25;4x8;5x17,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492428.json,loss4,25,Blue,Red,Blue,True,8,Red,3,1,0,675,450,15,10,0,0,0,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id3@(11,9);id4@(9,9);id5@(10,9)","id0@(13,13);id1@(7,12);id2@(10,11)",450,675,10,15,0,0,3,2,0,3,0,3,"('Blue', 3)x3;('Red', 0)x3",0x11;1x24;3x8;4x25;5x17,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492430.json,loss4,25,Blue,Red,Red,False,8,Blue,2,0,2,450,675,10,15,0,0,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id1@(11,9);id5@(9,9)","id2@(13,13);id3@(7,12);id4@(10,11)",675,450,15,10,0,0,1,3,2,1,2,1,"('Blue', 1)x3;('Red', 2)x3",1x14;2x8;3x17;4x25,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492431.json,loss4,30,Red,Blue,Red,True,10,Red,2,1,0,720,630,16,14,0,0,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id2@(13,7);id4@(7,8)","id1@(9,11);id3@(11,11);id5@(10,11)",720,630,16,14,0,0,2,3,5,2,5,2,"('Blue', 2)x3;('Red', 5)x3",1x20;2x10;3x30;4x21;5x11,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492432.json,loss4,25,Blue,Red,Red,False,8,Blue,2,0,1,450,675,10,15,0,0,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(9,9);id1@(11,9);id3@(10,9)","id2@(13,13);id4@(10,11);id5@(7,12)",675,450,15,10,0,0,2,3,2,1,2,1,"('Blue', 1)x3;('Red', 2)x3",1x11;2x8;3x24;4x17;5x25,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492433.json,loss4,32,Red,Blue,Red,True,10,Blue,2,1,0,765,675,17,15,0,0,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(7,8);id3@(13,7);id4@(10,9)","id0@(11,11);id2@(9,11);id5@(10,11)",765,675,17,15,0,0,2,3,2,3,0,3,"('Blue', 3)x3;('Red', 2)x3",0x32;1x23;2x10;3x12;5x19,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492434.json,loss4,25,Blue,Red,Red,False,8,Blue,2,0,2,450,675,10,15,0,0,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id1@(11,9);id4@(9,9)","id2@(7,12);id3@(13,13);id5@(10,11)",675,450,15,10,0,0,1,3,2,4,2,4,"('Blue', 4)x3;('Red', 2)x3",2x8;3x25;4x14;5x17,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492435.json,loss4,30,Red,Blue,Blue,False,9,Red,1,0,1,675,675,15,15,0,2,1,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(13,7);id3@(7,8);id4@(10,9)","id0@(1,11);id2@(19,11);id5@(10,11)",675,675,15,15,0,2,3,2,0,1,0,1,"('Blue', 1)x3;('Red', 0)x3",0x10;1x9;3x20;4x30;5x19,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492436.json,loss4,28,Blue,Red,Blue,True,8,Red,5,1,0,675,585,15,13,0,2,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(19,8);id3@(1,9);id5@(10,9)","id0@(7,12);id1@(13,13);id4@(10,11)",585,675,13,15,2,0,3,2,4,5,4,5,"('Blue', 5)x3;('Red', 4)x3",0x21;2x19;3x28;4x10;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492437.json,loss4,25,Red,Blue,Blue,False,8,Red,3,0,1,450,675,10,15,0,2,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id3@(10,9);id4@(13,7);id5@(7,8)","id0@(1,11);id1@(19,11);id2@(10,11)",450,675,10,15,0,2,3,2,0,3,0,3,"('Blue', 3)x3;('Red', 0)x3",0x11;1x24;3x8;4x17;5x25,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492438.json,loss4,29,Blue,Red,Blue,True,10,Red,0,1,0,675,630,15,14,0,2,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(1,9);id1@(19,8);id4@(10,9)","id2@(10,11);id3@(7,12);id5@(13,13)",630,675,14,15,2,0,3,2,2,0,2,0,"('Blue', 0)x3;('Red', 2)x3",0x10;1x20;2x11;3x22;4x29,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492439.json,loss4,25,Red,Blue,Blue,False,8,Red,2,0,1,450,675,10,15,0,2,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(7,8);id4@(10,9);id5@(13,7)","id0@(1,11);id1@(10,11);id3@(19,11)",450,675,10,15,0,2,3,2,1,2,1,2,"('Blue', 2)x3;('Red', 1)x3",0x24;1x11;2x8;4x17;5x25,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492440.json,loss4,27,Blue,Red,Blue,True,9,Red,0,1,0,675,540,15,12,0,2,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(19,8);id3@(10,9);id5@(1,9)","id1@(10,11);id2@(7,12);id4@(13,13)",540,675,12,15,2,0,3,2,1,0,2,0,"('Blue', 0)x3;('Red', 1)x3",0x9;1x10;2x24;3x27;5x19,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492441.json,loss4,27,Red,Blue,Red,True,9,Blue,4,1,0,675,540,15,12,0,2,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id2@(13,7);id3@(7,8)","id1@(1,11);id4@(10,11);id5@(19,11)",675,540,15,12,0,2,2,3,4,2,4,2,"('Blue', 2)x3;('Red', 4)x3",1x18;2x11;3x22;4x9;5x27,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492442.json,loss4,28,Blue,Red,Red,False,9,Blue,1,0,1,585,675,13,15,0,2,1,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(19,8);id2@(1,9);id4@(10,9)","id1@(10,11);id3@(13,13);id5@(7,12)",675,585,15,13,2,0,2,3,1,0,1,0,"('Blue', 0)x3;('Red', 1)x3",0x10;1x9;2x21;3x28;5x19,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492443.json,loss4,25,Red,Blue,Blue,False,8,Red,3,0,1,450,675,10,15,0,2,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id3@(7,8);id4@(13,7);id5@(10,9)","id0@(10,11);id1@(1,11);id2@(19,11)",450,675,10,15,0,2,3,2,2,3,2,3,"('Blue', 3)x3;('Red', 2)x3",1x24;2x11;3x8;4x17;5x25,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492444.json,loss4,29,Blue,Red,Blue,True,9,Red,4,1,0,720,585,16,13,0,2,2,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(19,8);id4@(10,9);id5@(1,9)","id0@(10,11);id2@(7,12);id3@(13,13)",585,720,13,16,2,0,3,2,2,4,2,5,"('Blue', 4)x3;('Red', 2)x3",1x18;2x11;3x22;4x9;5x29,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492445.json,loss4,25,Red,Blue,Blue,False,8,Red,3,0,1,450,675,10,15,0,2,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id3@(7,8);id4@(13,7);id5@(10,9)","id0@(1,11);id1@(19,11);id2@(10,11)",450,675,10,15,0,2,3,2,1,3,1,3,"('Blue', 3)x3;('Red', 1)x3",0x24;1x11;3x8;4x17;5x25,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492446.json,loss4,30,Blue,Red,Red,False,9,Red,0,0,1,675,675,15,15,0,2,1,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id4@(19,8);id5@(1,9)","id1@(7,12);id2@(10,11);id3@(13,13)",675,675,15,15,2,0,2,3,1,0,1,4,"('Blue', 0)x3;('Red', 1)x3",0x9;1x11;2x20;3x30;4x21,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
